race_ethnicity,religion,sexual_orientation,year_of_award,award,movie
White,Na,Straight,1946,Best Actor,The Lost Weekend
White,Na,Straight,1947,Best Actor,The Best Years of Our Lives
White,Na,Straight,1948,Best Actor,A Double Life
White,Na,Bisexual,1949,Best Actor,Hamlet
White,Na,Straight,1950,Best Actor,All The King's Men
Hispanic,Na,Straight,1951,Best Actor,Cyrano de Bergerac
White,Na,Straight,1952,Best Actor,The Africa Queen
White,Roman Catholic,Straight,1953,Best Actor,High Noon
White,Na,Straight,1954,Best Actor,Stalag 17
White,Deist,Bisexual,1955,Best Actor,On the Waterfront
White,Na,Straight,1956,Best Actor,Marty
White,Na,Straight,1957,Best Actor,The King and I
White,Roman Catholic,Bisexual,1958,Best Actor,The Bridge on the River Kwai
White,Na,Straight,1959,Best Actor,Separate Tables
White,Protestant,Straight,1960,Best Actor,Ben-hur
White,Protestant,Straight,1961,Best Actor,Elmer Gantry
White,Na,Straight,1962,Best Actor,Judgement at Nuremberg
White,Roman Catholic,Straight,1963,Best Actor,To Kill a Mockingbird
Black,Deist,Straight,1964,Best Actor,Lilies of the Field
White,Na,Straight,1965,Best Actor,My Fair Lady
White,Na,Straight,1966,Best Actor,Cat Ballou
White,Na,Straight,1967,Best Actor,A Man For All Seasons
White,Lutheran,Straight,1968,Best Actor,In the Heat of the Night
White,Na,Straight,1969,Best Actor,Charly
White,Roman Catholic,Straight,1970,Best Actor,True Grit
White,Na,Straight,1971,Best Actor,Patton
White,Na,Straight,1972,Best Actor,The French Connection
White,Deist,Bisexual,1973,Best Actor,The Godfather
White,Roman Catholic,Straight,1974,Best Actor,Save the Tiger
White,Na,Straight,1975,Best Actor,Harry and Tonto
White,Atheist,Straight,1976,Best Actor,One Flew Over the Cuckoo's Nest
White,Na,Straight,1977,Best Actor,Network
White,Jewish,Straight,1978,Best Actor,The Goodbye Girl
White,Roman Catholic,Straight,1979,Best Actor,Coming Home
White,Jewish,Straight,1980,Best Actor,Kramer vs. Kramer
White,Roman Catholic,Straight,1981,Best Actor,Raging Bull
White,Na,Straight,1982,Best Actor,On Golden Pond
Multiracial,Quaker,Straight,1983,Best Actor,Gandhi
White,Na,Straight,1984,Best Actor,Tender Mercies
Middle Eastern,Na,Straight,1985,Best Actor,Amadeus
White,Lutheran,Straight,1986,Best Actor,Kiss of the Spider Woman
White,Jewish,Straight,1987,Best Actor,The Color of Money
White,Jewish,Straight,1988,Best Actor,Wall Street
White,Jewish,Straight,1989,Best Actor,Rainman
White,Na,Straight,1990,Best Actor,My Left Foot
White,Na,Straight,1991,Best Actor,Reversal of Fortune
White,Na,Straight,1992,Best Actor,Silence of the Lambs
White,Roman Catholic,Straight,1993,Best Actor,Scent of a Woman
White,Born-Again Christian,Straight,1994,Best Actor,Philadelphia
White,Born-Again Christian,Straight,1995,Best Actor,Forrest Gump
White,Roman Catholic,Straight,1996,Best Actor,Leaving Las Vegas
White,Na,Straight,1997,Best Actor,Shine
White,Atheist,Straight,1997,Best Actor,As Good as It Gets
White,Na,Straight,1999,Best Actor,Life is Beautiful
White,Na,Matter of Dispute,2000,Best Actor,American Beauty
White,Na,Straight,2001,Best Actor,Gladiator
Black,Protestant,Straight,2002,Best Actor,Training Day
White,Jewish,Straight,2003,Best Actor,The Pianist
White,Roman Catholic,Straight,2003,Best Actor,Mystic River
Black,Baptist,Straight,2005,Best Actor,Ray
White,Na,Straight,2006,Best Actor,Capote
Black,Na,Straight,2007,Best Actor,The Last King of Scotland
White,Na,Straight,2008,Best Actor,There Will Be Blood
White,Roman Catholic,Straight,2009,Best Actor,Milk
White,Lutheran,Straight,2010,Best Actor,Crazy Heart
White,Na,Straight,2011,Best Actor,The King's Speech
White,Na,Straight,2012,Best Actor,The Artist
White,Na,Straight,2013,Best Actor,Lincoln
White,Na,Straight,2014,Best Actor,Dallas Buyers Club
White,Na,Straight,1938,Best Supporting Actor,Come and Get It
White,Na,Straight,1938,Best Supporting Actor,The Life of Emile Zola
White,Na,Straight,1939,Best Supporting Actor,Kentucky
White,Na,Straight,1940,Best Supporting Actor,Stagecoach
White,Na,Straight,1941,Best Supporting Actor,The Westerner
White,Na,Straight,1942,Best Supporting Actor,How Green Was My Valley
White,Na,Straight,1943,Best Supporting Actor,Johnny Eager
White,Na,Straight,1944,Best Supporting Actor,The More the Merrier
White,Protestant,Na,1945,Best Supporting Actor,Going My Way
White,Na,Straight,1946,Best Supporting Actor,A Tree Grows in Brooklyn
White,Na,Straight,1947,Best Supporting Actor,The Best Years of Our Lives
White,Na,Na,1948,Best Supporting Actor,Miracle on 34th Street
White,Na,Straight,1949,Best Supporting Actor,The Treasure of the Sierra Madre
White,Na,Straight,1950,Best Supporting Actor,Twelve O'Clock High
White,Na,Straight,1951,Best Supporting Actor,All About Eve
White,Na,Straight,1952,Best Supporting Actor,A Streetcar Named Desire
Hispanic,Na,Straight,1953,Best Supporting Actor,Viva Zapata!
White,Na,Straight,1954,Best Supporting Actor,From Here to Eternity
White,Roman Catholic,Straight,1955,Best Supporting Actor,The Barefoot Contessa
White,Roman Catholic,Straight,1956,Best Supporting Actor,Mister Roberts
Hispanic,Na,Straight,1957,Best Supporting Actor,Lust for Life
White,Jewish,Straight,1958,Best Supporting Actor,Sayonara
White,Na,Straight,1959,Best Supporting Actor,The Big Country
White,Na,Na,1960,Best Supporting Actor,Ben-Hur
White,Na,Straight,1961,Best Supporting Actor,Spartacus
White,Na,Gay,1962,Best Supporting Actor,West Side Story
White,Na,Straight,1963,Best Supporting Actor,Sweet Bird of Youth
White,Jewish,Straight,1964,Best Supporting Actor,Hud
White,Na,Straight,1965,Best Supporting Actor,Topkapi
White,Na,Straight,1966,Best Supporting Actor,A Thousand Clowns
White,Jewish,Straight,1967,Best Supporting Actor,The Fortune Cookie
White,Na,Straight,1968,Best Supporting Actor,Cool Hand Luke
White,Na,Na,1969,Best Supporting Actor,The Subject Was Roses
White,Na,Straight,1970,Best Supporting Actor,"They Shoot Horses, Don't They?"
White,Na,Straight,1971,Best Supporting Actor,Ryan's Daughter
White,Na,Straight,1972,Best Supporting Actor,The Last Picture Show
White,Jewish,Gay,1973,Best Supporting Actor,Cabaret
White,Na,Straight,1974,Best Supporting Actor,The Paper Chase
White,Roman Catholic,Straight,1975,Best Supporting Actor,The Godfather Part II
White,Jewish,Straight,1976,Best Supporting Actor,The Sunshine Boys
White,Na,Straight,1977,Best Supporting Actor,All the President's Men
White,Na,Straight,1978,Best Supporting Actor,Julia
White,Na,Straight,1979,Best Supporting Actor,The Deer Hunter
White,Jewish,Straight,1980,Best Supporting Actor,Being There
White,Na,Straight,1981,Best Supporting Actor,Oridnary People
White,Na,Gay,1982,Best Supporting Actor,Arthur
Black,Na,Straight,1983,Best Supporting Actor,An Officer and a Gentleman
White,Atheist,Straight,1984,Best Supporting Actor,Terms of Endearment
Asian,Buddhist,Straight,1985,Best Supporting Actor,The Killing Fields
White,Roman Catholic,Straight,1986,Best Supporting Actor,Cocoon
White,Na,Straight,1987,Best Supporting Actor,Hannah and Her Sisters
White,Roman Catholic,Straight,1988,Best Supporting Actor,The Untouchables
White,Roman Catholic,Straight,1989,Best Supporting Actor,A Fish Called Wanda
Black,Protestant,Straight,1990,Best Supporting Actor,Glory
White,Na,Straight,1991,Best Supporting Actor,Good Fellas
White,Na,Straight,1992,Best Supporting Actor,City Slickers
White,Na,Straight,1993,Best Supporting Actor,Unforgiven
White,Na,Straight,1994,Best Supporting Actor,The Fugitive
White,Jewish,Straight,1995,Best Supporting Actor,Ed Wood
White,Na,Matter of Dispute,1996,Best Supporting Actor,The Usual Suspects
Black,Na,Straight,1997,Best Supporting Actor,Jerry Maguire
White,Anglican/episcopalian,Straight,1998,Best Supporting Actor,Good Will Hunting
White,Na,Straight,1999,Best Supporting Actor,Affliction
White,Na,Straight,2000,Best Supporting Actor,The Cider House Rules
Hispanic,Na,Straight,2001,Best Supporting Actor,Traffic
White,Na,Straight,2002,Best Supporting Actor,Iris
White,Na,Straight,2003,Best Supporting Actor,Adaptation
White,Roman Catholic,Straight,2004,Best Supporting Actor,Mystic River
Black,Na,Straight,2005,Best Supporting Actor,Million Dollar Baby
White,Na,Straight,2006,Best Supporting Actor,Syriana
White,Jewish,Straight,2007,Best Supporting Actor,Little Miss Sunshine
Hispanic,Na,Straight,2008,Best Supporting Actor,No Country for Old Men
White,Na,Straight,2009,Best Supporting Actor,The Dark Knight
White,Na,Straight,2010,Best Supporting Actor,Inglourious Basterds
White,Na,Straight,2011,Best Supporting Actor,The Fighter
White,Na,Straight,2012,Best Supporting Actor,Beginning
White,Na,Straight,2013,Best Supporting Actor,Django Unchained
White,Na,Straight,2014,Best Supporting Actor,Dallas Buyers Club
White,Na,Straight,1929,Best Actress,7th Heaven
White,Na,Straight,1930,Best Actress,Coquette
White,Na,Straight,1930,Best Actress,The Divorcee
White,Na,Straight,1931,Best Actress,Min and Bill
White,Na,Straight,1932,Best Actress,The Sin of Madelon Claudet
White,Atheist,Bisexual,1934,Best Actress,Morning Glory
White,Na,Straight,1935,Best Actress,It Happened One Night
White,Na,Straight,1936,Best Actress,Dangerous
White,Jewish,Straight,1937,Best Actress,The Great Ziegfeld
White,Jewish,Straight,1938,Best Actress,The Good Earth
White,Na,Straight,1939,Best Actress,Jezebel
White,Roman Catholic,Straight,1940,Best Actress,Gone with the Wind
White,Christian Science,Straight,1941,Best Actress,Kitty Foyle
White,Na,Straight,1940,Best Actress,Suspicion
White,Na,Straight,1942,Best Actress,Mrs. Miniver
White,Roman Catholic,Straight,1944,Best Actress,The Song of Bernadette
White,Na,Straight,1945,Best Actress,Gaslight
White,Christian Science,Bisexual,1946,Best Actress,Mildred Pierce
White,Na,Straight,1947,Best Actress,To Each His Own
White,Roman Catholic,Straight,1948,Best Actress,The Farmer's Daughter
White,Roman Catholic,Straight,1949,Best Actress,Johnny Belinda
White,Na,Straight,1950,Best Actress,The Heiress
White,Na,Straight,1951,Best Actress,Born Yesterday
White,Roman Catholic,Straight,1952,Best Actress,A Streetcar Named Desire
White,Na,Straight,1953,Best Actress,"Come Back, Little Sheba"
White,Christian Science,Straight,1954,Best Actress,Roman Holiday
White,Roman Catholic,Straight,1955,Best Actress,The Country Girl
White,Na,Straight,1956,Best Actress,The Rose Tattoo
White,Na,Straight,1957,Best Actress,Anastasia
White,Na,Straight,1958,Best Actress,The Three Faces of Eve
White,Roman Catholic,Straight,1959,Best Actress,I Want To Live!
White,Na,Straight,1960,Best Actress,Room at the Top
White,Jewish,Straight,1961,Best Actress,Butterfield 8
White,Roman Catholic,Straight,1962,Best Actress,Two Women
White,Roman Catholic,Straight,1963,Best Actress,The Miracle Worker
White,Roman Catholic,Straight,1964,Best Actress,Hud
White,Na,Straight,1965,Best Actress,Mary Poppins
White,Na,Straight,1966,Best Actress,Darling
White,Jewish,Straight,1967,Best Actress,Who's Afraid of Virginia Woolf?
White,Atheist,Bisexual,1968,Best Actress,Guess Who's Coming to Dinner
White,Jewish,Straight,1969,Best Actress,Funny Girl
White,Atheist,Bisexual,1969,Best Actress,The Lion in Winter
White,Na,Straight,1970,Best Actress,The Prime of Miss Jean Brodie
White,Na,Straight,1971,Best Actress,Women in Love
White,Born-Again Christian,Straight,1972,Best Actress,Klute
White,Na,Na,1973,Best Actress,Cabaret
White,Na,Straight,1974,Best Actress,A Touch of Class
White,Sufism,Straight,1975,Best Actress,Alice Doesn't Live Here Anymore
White,Na,Straight,1976,Best Actress,One Flew Over the Cuckoo's Nest
White,Roman Catholic,Straight,1977,Best Actress,Network
White,Atheist,Straight,1978,Best Actress,Annie Hall
White,Born-Again Christian,Straight,1979,Best Actress,Coming Home
White,Na,Straight,1980,Best Actress,Norma Rae
White,Na,Straight,1981,Best Actress,Coal Miner's Daughter
White,Atheist,Bisexual,1982,Best Actress,On Golden Pond
White,Na,Straight,1983,Best Actress,Sophie's Choice
White,Baptist,Straight,1984,Best Actress,Terms of Endearment
White,Na,Straight,1985,Best Actress,Places in the Heart
White,Na,Straight,1986,Best Actress,The Trip to Bountiful
White,Jewish,Straight,1987,Best Actress,Children of a Lesser God
White,Na,Bisexual,1988,Best Actress,Moonstruck
White,Atheist,Lesbian,1989,Best Actress,The Accused
White,Na,Straight,1990,Best Actress,Driving Miss Daisy
White,Na,Straight,1991,Best Actress,Misery
White,Atheist,Lesbian,1992,Best Actress,The Silence of the Lambs
White,Na,Straight,1993,Best Actress,Howards End
White,Na,Straight,1994,Best Actress,The Piano
White,Na,Straight,1995,Best Actress,Blue Sky
White,Roman Catholic,Straight,1996,Best Actress,Dead Man Walking
White,Disciples of Christ,Straight,1997,Best Actress,Fargo
White,Na,Straight,1998,Best Actress,As Good As It Gets
White,Jewish,Straight,1999,Best Actress,Shakespeare in Love
White,Na,Straight,2000,Best Actress,Boys Don't Cry
White,Hindu,Straight,2001,Best Actress,Erin Brockovich
Multiracial,Na,Straight,2002,Best Actress,Monster's Ball
White,Roman Catholic,Straight,2003,Best Actress,The Hours
White,Na,Straight,2004,Best Actress,Monster
White,Na,Straight,2005,Best Actress,Million Dollar Baby
White,Na,Straight,2006,Best Actress,Walk the Line
White,Na,Straight,2007,Best Actress,The Queen
White,Na,Straight,2008,Best Actress,The Passionate Life of Edith Piaf
White,Na,Straight,2009,Best Actress,The Reader
White,Na,Straight,2010,Best Actress,The Blind Side
White,Jewish,Straight,2011,Best Actress,Black Swan
White,Na,Straight,2012,Best Actress,The Iron Lady
White,Na,Na,2013,Best Actress,Silver Linings Playbook
White,Na,Straight,2014,Best Actress,Blue Jasmine
White,Na,Straight,1937,Best Supporting Actress,Anthony Adverse
White,Na,Straight,1938,Best Supporting Actress,In Old Chicago
White,Na,Straight,1939,Best Supporting Actress,Jezebel
Black,Christian,Matter of Dispute,1940,Best Supporting Actress,Gone with the Wind
White,Na,Straight,1941,Best Supporting Actress,The Grapes of Wrath
White,Roman Catholic,Straight,1942,Best Supporting Actress,The Great Lie
White,Na,Straight,1943,Best Supporting Actress,Mrs. Miniver
White,Na,Straight,1944,Best Supporting Actress,For Whom the Bell Tolls
White,Roman Catholic,Straight,1945,Best Supporting Actress,None but the Lonely Heart
White,Na,Straight,1946,Best Supporting Actress,National Velvet
White,Na,Straight,1947,Best Supporting Actress,The Razor's Edge
White,Na,Straight,1948,Best Supporting Actress,Gentleman's Agreement
White,Na,Straight,1949,Best Supporting Actress,Key Largo
White,Roman Catholic,Straight,1950,Best Supporting Actress,All the King's Men
White,Na,Straight,1951,Best Supporting Actress,Harvey
White,Na,Straight,1952,Best Supporting Actress,A Streetcar Named Desire
White,Na,Straight,1953,Best Supporting Actress,The Bad and the Beautiful
White,Na,Straight,1954,Best Supporting Actress,From Here to Eternity
White,Na,Straight,1955,Best Supporting Actress,On the Waterfront
White,Na,Straight,1956,Best Supporting Actress,East of Eden
White,Na,Straight,1957,Best Supporting Actress,Written on the Wind
Asian,Na,Straight,1958,Best Supporting Actress,Sayonara
White,Na,Straight,1959,Best Supporting Actress,Separate Tables
White,Jewish,Straight,1960,Best Supporting Actress,The Diary of Anne Frank
White,Methodist,Straight,1961,Best Supporting Actress,Elmer Gantry
Hispanic,Na,Straight,1962,Best Supporting Actress,West Side Story
White,Roman Catholic,Straight,1963,Best Supporting Actress,The Miracle Worker
White,Na,Straight,1964,Best Supporting Actress,the V.I.P.s
White,Na,Straight,1965,Best Supporting Actress,Zorba the Greek
White,Jewish,Straight,1966,Best Supporting Actress,A Patch of Blue
White,Na,Bisexual,1967,Best Supporting Actress,Who's Afraid of Virginia Woolf?
White,Na,Straight,1968,Best Supporting Actress,Bonnie and Clyde
White,Na,Straight,1969,Best Supporting Actress,Rosemary's Baby
White,Buddhist,Straight,1970,Best Supporting Actress,Cactus Flower
White,Na,Straight,1971,Best Supporting Actress,Airport
White,Na,Straight,1972,Best Supporting Actress,The Last Picture Show
White,Na,Straight,1973,Best Supporting Actress,Butterflies Are Free
White,Na,Straight,1974,Best Supporting Actress,Paper Moon
White,Na,Straight,1975,Best Supporting Actress,Murder on the Orient Express
White,Jewish,Straight,1976,Best Supporting Actress,Shampoo
White,Na,Straight,1977,Best Supporting Actress,Network
White,Na,Straight,1978,Best Supporting Actress,Julia
White,Na,Straight,1979,Best Supporting Actress,California Suite
White,Na,Straight,1980,Best Supporting Actress,Kramer vs. Kramer
White,Na,Straight,1981,Best Supporting Actress,Melvin and Howard
White,Roman Catholic,Straight,1982,Best Supporting Actress,Reds
White,Na,Straight,1983,Best Supporting Actress,Tootsie
White,Na,Na,1984,Best Supporting Actress,The Year of Living Dangerously
White,Agnostic,Straight,1985,Best Supporting Actress,A Passage to India
White,Na,Straight,1986,Best Supporting Actress,Prizzi's Honor
White,Na,Straight,1987,Best Supporting Actress,Hannah and Her Sisters
White,Na,Straight,1988,Best Supporting Actress,Moonstruck
White,Congregationalist,Straight,1989,Best Supporting Actress,The Accidental Tourist
White,Na,Straight,1990,Best Supporting Actress,My Left Foot
Black,Atheist,Straight,1991,Best Supporting Actress,Ghost
Hispanic,Roman Catholic,Straight,1992,Best Supporting Actress,The Fisher King
White,Na,Straight,1993,Best Supporting Actress,My Cousin Vinny
White,Na,Bisexual,1994,Best Supporting Actress,The Piano
White,Na,Straight,1995,Best Supporting Actress,Bullets Over Broadway
White,Atheist,Straight,1996,Best Supporting Actress,Mighty Aphrodite
White,Na,Straight,1997,Best Supporting Actress,The English Patient
White,Na,Straight,1998,Best Supporting Actress,L.A. Confidential
White,Quaker,Straight,1999,Best Supporting Actress,Shakespeare in Love
White,Buddhist,Bisexual,2000,Best Supporting Actress,"Girl, Interrupted"
White,Na,Straight,2001,Best Supporting Actress,Pollock
White,Jewish,Straight,2002,Best Supporting Actress,A Beautiful Mind
White,Roman Catholic,Straight,2003,Best Supporting Actress,Chicago
White,Na,Straight,2004,Best Supporting Actress,Cold Mountain
White,Na,Straight,2005,Best Supporting Actress,The Aviator
White,Jewish,Straight,2006,Best Supporting Actress,The Constant Gardener
Black,Baptist,Straight,2007,Best Supporting Actress,Dreamgirls
White,Na,Straight,2007,Best Supporting Actress,Michael Clayton
Hispanic,Buddhist,Straight,2009,Best Supporting Actress,Vicky Cristina Barcelona
Black,Na,Straight,2010,Best Supporting Actress,Precious
White,Na,Straight,2011,Best Supporting Actress,The Fighter
Black,Na,Na,2012,Best Supporting Actress,The Help
White,Christian,Straight,2013,Best Supporting Actress,Les Mis̩rables
Black,Na,Na,2014,Best Supporting Actress,12 Years a Slave
White,Jewish,Straight,1961,Best Director,The Apartment
White,Christian Science,Straight,1941,Best Actress,Kitty Foyle
White,Born-Again Christian,Straight,1994,Best Actor,Philadelphia
White,Na,Straight,1979,Best Director,The Deer Hunter
White,Roman Catholic,Straight,1942,Best Supporting Actress,The Great Lie
White,Buddhist,Bisexual,2000,Best Supporting Actress,"Girl, Interrupted"
White,Jewish,Straight,1976,Best Supporting Actress,Shampoo
White,Na,Straight,1946,Best Supporting Actress,National Velvet
White,Roman Catholic,Straight,1977,Best Actress,Network
White,Na,Straight,1943,Best Supporting Actor,Johnny Eager
White,Na,Straight,1958,Best Actress,The Three Faces of Eve
White,Roman Catholic,Straight,1953,Best Actor,High Noon
White,Jewish,Straight,1967,Best Actress,Who's Afraid of Virginia Woolf?
White,Na,Straight,2005,Best Actress,Million Dollar Baby
White,Na,Straight,2005,Best Actress,Million Dollar Baby
White,Jewish,Straight,1999,Best Actress,Shakespeare in Love
White,Na,Na,1969,Best Supporting Actor,The Subject Was Roses
Black,Na,Straight,2010,Best Supporting Actress,Precious
White,Na,Straight,2001,Best Supporting Actress,Pollock
White,Na,Straight,1970,Best Actress,The Prime of Miss Jean Brodie
White,Jewish,Straight,2006,Best Supporting Actress,The Constant Gardener
White,Roman Catholic,Straight,2009,Best Director,Slumdog Millionaire
White,Na,Straight,1977,Best Supporting Actor,All the President's Men
White,Na,Straight,1999,Best Supporting Actor,Affliction
White,Na,Straight,1949,Best Director,The Treasure of the Sierra Madre
