Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre,Release_Date
1948,21,Best Motion Picture,0,Johnny Belinda ,Warner Brothers,0,0,102,6.9,29,1.675,Drama,1948-09-14
1948,21,Best Motion Picture,0,The Red Shoes ,J. Arthur Rank-Archers,0,500000,133,8.1,199,6.33,Drama,1948-07-20
1948,21,Best Motion Picture,0,The Snake Pit ,20th Century-Fox,0,0,108,7.2,34,2.618,Drama,1948-11-04
1948,21,Best Motion Picture,0,The Treasure of the Sierra Madre ,Warner Brothers,4307000,3800000,126,8.1,423,11.654,Action,1948-01-24
1949,22,Best Motion Picture,1,All the King's Men ,Robert Rossen Productions,0,0,109,7.1,65,5.469,Drama,1949-11-08
1949,22,Best Motion Picture,0,Battleground ,Metro-Goldwyn-Mayer,0,0,118,6.8,34,4.008,Action,1949-11-09
1949,22,Best Motion Picture,0,The Heiress ,Paramount,0,2600000,115,7.7,60,4.361,Drama,1949-10-06
1949,22,Best Motion Picture,0,A Letter to Three Wives ,20th Century-Fox,0,0,103,7.2,43,3.031,Drama,1949-01-20
1949,22,Best Motion Picture,0,Twelve O'Clock High ,20th Century-Fox,3225000,0,132,7.1,48,2.729,War,1949-12-21
1950,23,Best Motion Picture,1,All about Eve ,20th Century-Fox,63463,1400000,139,8.2,577,10.221,Drama,1950-11-09
1950,23,Best Motion Picture,0,Born Yesterday ,Columbia,0,0,103,7.0,49,4.151,Comedy,1950-12-25
1950,23,Best Motion Picture,0,Father of the Bride ,Metro-Goldwyn-Mayer,0,0,92,7.0,68,5.958,Comedy,1950-06-16
1950,23,Best Motion Picture,0,King Solomon's Mines ,Metro-Goldwyn-Mayer,0,0,103,6.3,34,2.918,Action,1950-11-09
1950,23,Best Motion Picture,0,Sunset Blvd. ,Paramount,5000000,1752000,110,8.4,884,15.428,Drama,1950-08-10
1951,24,Best Motion Picture,1,An American in Paris ,"Arthur Freed, Producer",4500000,2723903,113,7.0,211,8.442,Drama,1951-08-08
1951,24,Best Motion Picture,0,Decision before Dawn ,"Anatole Litvak and Frank McCarthy, Producers",0,0,119,7.0,15,1.161,War,1951-12-21
1951,24,Best Motion Picture,0,A Place in the Sun ,"George Stevens, Producer",0,0,122,7.4,127,6.609,Drama,1951-06-12
1951,24,Best Motion Picture,0,Quo Vadis ,"Sam Zimbalist, Producer",30000000,8250000,171,7.1,120,8.102,Drama,1951-11-08
1951,24,Best Motion Picture,0,A Streetcar Named Desire ,"Charles K. Feldman, Producer",8000000,1800000,125,7.8,476,10.414,Drama,1951-09-18
1952,25,Best Motion Picture,1,The Greatest Show on Earth ,"Cecil B. DeMille, Producer",36000000,4000000,152,6.4,76,5.09,Action,1952-01-10
1952,25,Best Motion Picture,0,High Noon ,"Stanley Kramer, Producer",8000000,730000,85,7.7,517,8.329,Western,1952-03-27
1952,25,Best Motion Picture,0,Ivanhoe ,"Pandro S. Berman, Producer",0,0,106,7.0,63,5.611,Action,1952-01-01
1952,25,Best Motion Picture,0,Moulin Rouge ,Romulus Films,0,1500000,119,6.7,28,1.858,Drama,1952-12-23
1952,25,Best Motion Picture,0,The Quiet Man ,"John Ford and Merian C. Cooper, Producers",0,0,129,7.4,174,5.737,Comedy,1952-07-21
1953,26,Best Motion Picture,1,From Here to Eternity ,"Buddy Adler, Producer",30500000,1650000,118,7.4,217,7.745,Drama,1953-08-28
1953,26,Best Motion Picture,0,Julius Caesar ,"John Houseman, Producer",0,0,120,7.2,58,2.917,Drama,1953-06-04
1953,26,Best Motion Picture,0,The Robe ,"Frank Ross, Producer",36000000,4100000,135,6.5,74,4.73,Drama,1953-09-16
1953,26,Best Motion Picture,0,Roman Holiday ,"William Wyler, Producer",12000000,1500000,119,7.9,795,12.947,Comedy,1953-08-26
1953,26,Best Motion Picture,0,Shane ,"George Stevens, Producer",20000000,3100000,118,7.4,225,6.866,Drama,1953-04-23
1954,27,Best Motion Picture,0,The Caine Mutiny ,"Stanley Kramer, Producer",21750000,2000000,124,7.3,116,5.955,Drama,1954-06-23
1954,27,Best Motion Picture,0,The Country Girl ,"William Perlberg, Producer",0,0,104,7.7,20,4.369,Music,1954-05-17
1954,27,Best Motion Picture,1,On the Waterfront ,"Sam Spiegel, Producer",9600000,910000,108,8.1,577,7.903,Crime,1954-06-22
1954,27,Best Motion Picture,0,Seven Brides for Seven Brothers ,"Jack Cummings, Producer",5000000,0,102,7.4,215,7.465,Comedy,1954-07-22
1954,27,Best Motion Picture,0,Three Coins in the Fountain ,"Sol C. Siegel, Producer",0,0,102,6.2,18,1.523,Drama,1954-05-01
1955,28,Best Motion Picture,0,Love Is a Many-Splendored Thing ,"Buddy Adler, Producer",0,0,102,6.4,31,1.621,Drama,1955-08-18
1955,28,Best Motion Picture,1,Marty ,"Harold Hecht, Producer",3000000,343000,90,7.5,111,5.378,Drama,1955-04-11
1955,28,Best Motion Picture,0,Mister Roberts ,"Leland Hayward, Producer",0,0,123,7.2,55,3.341,Comedy,1955-07-13
1955,28,Best Motion Picture,0,Picnic ,"Fred Kohlmar, Producer",0,0,115,6.9,31,3.184,Drama,1955-11-18
1955,28,Best Motion Picture,0,The Rose Tattoo ,"Hal B. Wallis, Producer",0,0,117,7.6,19,1.066,Drama,1955-12-12
1956,29,Best Motion Picture,1,Around the World in 80 Days ,"Michael Todd, Producer",42000000,6000000,167,6.5,161,7.311,Adventure,1956-10-17
1956,29,Best Motion Picture,0,Friendly Persuasion ,"William Wyler, Producer",0,0,137,6.5,33,1.865,Drama,1956-11-25
1956,29,Best Motion Picture,0,Giant ,"George Stevens and Henry Ginsberg, Producers",35000000,5400000,201,7.6,265,5.522,Action,1956-10-10
1956,29,Best Motion Picture,0,The King and I ,"Charles Brackett, Producer",21300000,4550000,133,7.3,159,7.106,Drama,1956-06-29
1956,29,Best Motion Picture,0,The Ten Commandments ,"Cecil B. DeMille, Producer",122700000,13000000,220,7.6,509,11.599,Drama,1956-10-05
1957,30,Best Motion Picture,1,The Bridge on the River Kwai ,"Sam Spiegel, Producer",27200000,3000000,161,7.9,813,13.093,Drama,1957-10-02
1957,30,Best Motion Picture,0,Peyton Place ,"Jerry Wald, Producer",0,0,151,7.1,24,2.937,Drama,1957-12-13
1957,30,Best Motion Picture,0,Sayonara ,"William Goetz, Producer",0,0,147,6.8,38,4.331,Drama,1957-12-05
1957,30,Best Motion Picture,0,12 Angry Men ,"Henry Fonda and Reginald Rose, Producers",1000000,350000,97,8.4,3226,17.513,Drama,1957-03-25
1957,30,Best Motion Picture,0,Witness for the Prosecution ,"Arthur Hornblow, Jr., Producer",9000000,3000000,116,8.3,444,8.516,Drama,1957-12-17
1958,31,Best Motion Picture,0,Auntie Mame ,Warner Brothers,0,0,143,7.2,40,2.425,Comedy,1958-12-27
1958,31,Best Motion Picture,0,Cat on a Hot Tin Roof ,"Lawrence Weingarten, Producer",17570324,3000000,108,7.8,272,9.118,Drama,1958-02-17
1958,31,Best Motion Picture,0,The Defiant Ones ,"Stanley Kramer, Producer",0,0,96,7.0,73,4.789,Crime,1958-08-14
1958,31,Best Motion Picture,1,Gigi ,"Arthur Freed, Producer",0,3319355,116,6.4,107,6.114,Comedy,1958-04-15
1958,31,Best Motion Picture,0,Separate Tables ,"Harold Hecht, Producer",0,0,100,7.1,39,3.326,Drama,1958-12-18
1959,32,Best Motion Picture,0,Anatomy of a Murder ,"Otto Preminger, Producer",0,0,160,7.9,315,7.494,Crime,1959-07-01
1959,32,Best Motion Picture,1,Ben-Hur ,"Sam Zimbalist, Producer",146900000,15000000,212,7.7,1022,14.934,Adventure,1959-12-26
1959,32,Best Motion Picture,0,The Diary of Anne Frank ,"George Stevens, Producer",0,3000000,180,7.2,122,7.831,Drama,1959-03-18
1959,32,Best Motion Picture,0,The Nun's Story ,"Henry Blanke, Producer",12800000,3500000,149,7.3,66,4.297,Drama,1959-06-18
1959,32,Best Motion Picture,0,Room at the Top ,"John Woolf and James Woolf, Producers",0,0,115,6.9,26,3.977,Drama,1959-01-22
1960,33,Best Motion Picture,0,The Alamo ,"John Wayne, Producer",7900000,12000000,167,6.8,112,7.313,Action,1960-10-23
1960,33,Best Motion Picture,1,The Apartment ,"Billy Wilder, Producer",25000000,3000000,125,8.2,767,14.791,Comedy,1960-06-15
1960,33,Best Motion Picture,0,Elmer Gantry ,"Bernard Smith, Producer",10400000,3000000,146,7.5,49,3.33,Drama,1960-06-19
1960,33,Best Motion Picture,0,Sons and Lovers ,"Jerry Wald, Producer",0,0,103,6.6,7,1.582,Drama,1960-08-29
1960,33,Best Motion Picture,0,The Sundowners ,"Fred Zinnemann, Producer",0,0,133,6.5,18,1.563,Drama,1960-12-08
1961,34,Best Motion Picture,0,Fanny ,"Joshua Logan, Producer",0,0,134,6.5,12,1.071,Drama,1961-06-28
1961,34,Best Motion Picture,0,The Guns of Navarone ,"Carl Foreman, Producer",28900000,6000000,158,7.5,271,10.958,Action,1961-04-27
1961,34,Best Motion Picture,0,The Hustler ,"Robert Rossen, Producer",7600000,2000000,134,7.8,369,9.184,Drama,1961-09-25
1961,34,Best Motion Picture,0,Judgment at Nuremberg ,"Stanley Kramer, Producer",10000000,3000000,186,8.0,252,8.289,Drama,1961-12-01
1961,34,Best Motion Picture,1,West Side Story ,"Robert Wise, Producer",43656822,6000000,152,7.3,685,9.82,Crime,1961-10-18
1962,35,Best Picture,1,Lawrence of Arabia ,"Sam Spiegel, Producer",69995385,15000000,216,8.0,1270,11.971,Adventure,1962-12-10
1962,35,Best Picture,0,The Longest Day ,"Darryl F. Zanuck, Producer",50100000,10000000,178,7.5,362,10.18,Drama,1962-09-25
1962,35,Best Picture,0,Meredith Willson's The Music Man ,"Morton Da Costa, Producer",2500000,927262,107,8.2,643,11.853,Crime,1944-04-24
1962,35,Best Picture,0,Mutiny on the Bounty ,"Aaron Rosenberg, Producer",13680000,19000000,178,6.9,101,8.241,Adventure,1962-11-08
1962,35,Best Picture,0,To Kill a Mockingbird ,"Alan J. Pakula, Producer",13129846,2000000,129,8.0,1141,9.438,Crime,1962-12-25
1963,36,Best Picture,0,America America ,"Elia Kazan, Producer",0,0,174,6.4,26,1.632,Drama,1963-12-15
1963,36,Best Picture,0,Cleopatra ,"Walter Wanger, Producer",71000000,31115000,248,6.9,227,10.641,Drama,1963-06-12
1963,36,Best Picture,0,How the West Was Won ,"Bernard Smith, Producer",50000000,15000000,162,7.0,132,9.111,Western,1962-11-01
1963,36,Best Picture,0,Lilies of the Field ,"Ralph Nelson, Producer",0,0,94,7.2,39,1.767,Comedy,1963-06-04
1963,36,Best Picture,1,Tom Jones ,"Tony Richardson, Producer",37600000,1000000,128,6.6,53,5.137,Adventure,1963-08-24
1964,37,Best Picture,0,Becket ,"Hal B. Wallis, Producer",0,0,148,7.4,67,5.289,Drama,1964-03-11
1964,37,Best Picture,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"Stanley Kubrick, Producer",9440272,1800000,95,8.1,2340,14.004,Drama,1964-01-29
1964,37,Best Picture,0,Mary Poppins ,"Walt Disney and Bill Walsh, Producers",102272727,6000000,139,7.5,2027,14.58,Comedy,1964-08-27
1964,37,Best Picture,1,My Fair Lady ,"Jack L. Warner, Producer",72070731,17000000,170,7.7,540,12.419,Drama,1964-10-21
1964,37,Best Picture,0,Zorba the Greek ,"Michael Cacoyannis, Producer",0,783000,142,7.4,105,7.326,Adventure,1964-12-14
1965,38,Best Picture,0,Darling ,"Joseph Janni, Producer",0,0,128,6.7,41,4.541,Drama,1965-08-03
1965,38,Best Picture,0,Doctor Zhivago ,"Carlo Ponti, Producer",111858363,11000000,200,7.6,405,9.227,Drama,1965-12-22
1965,38,Best Picture,0,Ship of Fools ,"Stanley Kramer, Producer",0,0,149,6.2,24,2.81,Drama,1965-07-29
1965,38,Best Picture,1,The Sound of Music ,"Robert Wise, Producer",286214286,8200000,174,7.6,1454,21.405,Drama,1965-03-02
1965,38,Best Picture,0,A Thousand Clowns ,"Fred Coe, Producer",0,0,118,7.4,11,0.671,Comedy,1965-12-13
1966,39,Best Picture,0,Alfie ,"Lewis Gilbert, Producer",0,0,114,6.7,90,5.529,Comedy,1966-03-29
1966,39,Best Picture,1,A Man for All Seasons ,"Fred Zinnemann, Producer",28350000,3900000,120,7.6,136,6.495,Drama,1966-12-12
1966,39,Best Picture,0,The Russians Are Coming The Russians Are Coming ,"Norman Jewison, Producer",0,0,126,6.3,38,3.525,Comedy,1966-05-25
1966,39,Best Picture,0,The Sand Pebbles ,"Robert Wise, Producer",20000000,12000000,182,7.3,95,6.905,Action,1966-12-20
1966,39,Best Picture,0,Who's Afraid of Virginia Woolf? ,"Ernest Lehman, Producer",33736689,7500000,131,8.0,299,6.648,Drama,1966-06-21
1967,40,Best Picture,0,Bonnie and Clyde ,"Warren Beatty, Producer",50700000,2500000,111,7.6,576,7.905,Crime,1967-07-18
1967,40,Best Picture,0,Doctor Dolittle ,"Arthur P. Jacobs, Producer",9000000,18000000,152,6.0,63,5.602,Adventure,1967-12-19
1967,40,Best Picture,0,The Graduate ,"Lawrence Turman, Producer",104945305,3000000,106,7.7,1311,11.341,Comedy,1967-12-21
1967,40,Best Picture,0,Guess Who's Coming to Dinner ,"Stanley Kramer, Producer",56666667,4000000,108,7.7,276,7.609,Comedy,1967-12-11
1967,40,Best Picture,1,In the Heat of the Night ,"Walter Mirisch, Producer",27379978,2000000,109,7.7,338,7.843,Crime,1967-08-02
1968,41,Best Picture,0,Funny Girl ,"Ray Stark, Producer",52223306,14000000,149,7.1,136,5.178,Comedy,1968-09-19
1968,41,Best Picture,0,The Lion in Winter ,"Martin Poll, Producer",0,0,134,7.6,122,7.517,Drama,1968-01-01
1968,41,Best Picture,1,Oliver! ,"John Woolf, Producer",37402877,10000000,153,7.1,157,9.345,Drama,1968-09-26
1968,41,Best Picture,0,"Rachel, Rachel ","Paul Newman, Producer",0,0,101,6.6,20,1.261,Drama,1968-01-01
1968,41,Best Picture,0,Romeo and Juliet ,"Anthony Havelock-Allan and John Brabourne, Producers",38901218,0,138,7.4,240,10.902,Drama,1968-04-02
1969,42,Best Picture,0,Anne of the Thousand Days ,"Hal B. Wallis, Producer",0,0,145,7.1,42,3.568,Drama,1969-12-18
1969,42,Best Picture,0,Butch Cassidy and the Sundance Kid ,"John Foreman, Producer",102308889,6000000,111,7.6,910,18.186,Crime,1969-09-23
1969,42,Best Picture,0,"Hello, Dolly! ","Ernest Lehman, Producer",33208099,24000000,146,7.0,90,5.041,Comedy,1969-12-12
1969,42,Best Picture,1,Midnight Cowboy ,"Jerome Hellman, Producer",44785053,3600000,113,7.6,476,13.58,Drama,1969-05-25
1969,42,Best Picture,0,Z ,"Jacques Perrin and Hamed Rachedi, Producers",83305,0,127,8.1,145,6.755,Drama,1969-02-26
1970,43,Best Picture,0,Airport ,"Ross Hunter, Producer",100489151,10000000,137,6.4,136,7.657,Action,1970-03-05
1970,43,Best Picture,0,Five Easy Pieces ,"Bob Rafelson and Richard Wechsler, Producers",0,0,98,7.3,176,5.525,Drama,1970-09-12
1970,43,Best Picture,0,Love Story ,"Howard G. Minsky, Producer",136400000,2200000,99,6.6,213,7.17,Drama,1970-12-16
1970,43,Best Picture,1,MASH,"Ingo Preminger, Producer",81600000,3500000,116,7.0,352,8.389,Comedy,1970-01-24
1970,43,Best Picture,1,Patton ,"Frank McCarthy, Producer",89800000,12000000,172,7.4,460,11.655,Drama,1970-01-25
1971,44,Best Picture,0,A Clockwork Orange ,"Stanley Kubrick, Producer",26589000,2200000,136,8.2,5674,22.492,Science Fiction,1971-12-18
1971,44,Best Picture,0,Fiddler on the Roof ,"Norman Jewison, Producer",83304330,9000000,181,7.8,187,10.117,Drama,1971-11-03
1971,44,Best Picture,1,The French Connection ,"Philip D'Antoni, Producer",41158757,1800000,104,7.5,652,12.37,Action,1971-10-09
1971,44,Best Picture,0,The Last Picture Show ,"Stephen J. Friedman, Producer",29133000,1300000,119,7.8,213,7.924,Drama,1971-10-02
1971,44,Best Picture,0,Nicholas and Alexandra ,"Sam Spiegel, Producer",0,0,189,7.3,23,4.527,Romance,1971-11-29
1972,45,Best Picture,0,Cabaret ,"Cy Feuer, Producer",0,6000000,124,7.5,337,8.554,Drama,1972-02-13
1972,45,Best Picture,0,Deliverance ,"John Boorman, Producer",46122355,2000000,109,7.3,637,7.221,Drama,1972-07-30
1972,45,Best Picture,0,The Emigrants ,"Bengt Forslund, Producer",0,0,191,7.0,36,4.878,Adventure,1971-03-08
1972,45,Best Picture,1,The Godfather ,"Albert S. Ruddy, Producer",245066411,6000000,175,8.6,8780,29.89,Drama,1972-03-14
1972,45,Best Picture,0,Sounder ,"Robert B. Radnitz, Producer",0,0,105,7.3,13,0.85,Drama,1972-09-24
1973,46,Best Picture,0,American Graffiti ,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",140000000,777000,110,7.1,538,10.178,Comedy,1973-08-01
1973,46,Best Picture,0,Cries and Whispers ,"Ingmar Bergman, Producer",2500000,927262,107,8.2,643,11.853,Crime,1944-04-24
1973,46,Best Picture,0,The Exorcist ,"William Peter Blatty, Producer",441306145,8000000,122,7.6,3314,17.922,Drama,1973-12-26
1973,46,Best Picture,1,The Sting ,"Tony Bill, Michael Phillips and Julia Phillips, Producers",159616327,5500000,129,8.0,971,9.249,Comedy,1973-12-25
1973,46,Best Picture,0,A Touch of Class ,"Melvin Frank, Producer",0,0,106,6.4,19,1.808,Comedy,1973-01-01
1974,47,Best Picture,0,Chinatown ,"Robert Evans, Producer",30000000,6000000,130,7.9,1478,12.392,Crime,1974-06-20
1974,47,Best Picture,0,The Conversation ,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",4420000,1600000,113,7.6,545,5.996,Crime,1974-04-07
1974,47,Best Picture,1,The Godfather Part II ,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",102600000,13000000,200,8.5,5103,22.741,Drama,1974-12-20
1974,47,Best Picture,0,Lenny ,"Marvin Worth, Producer",0,0,111,7.4,70,3.816,Drama,1974-11-10
1974,47,Best Picture,0,The Towering Inferno ,"Irwin Allen, Producer",116000000,14000000,159,7.1,345,10.084,Action,1974-12-14
1975,48,Best Picture,0,Barry Lyndon ,"Stanley Kubrick, Producer",20000000,11000000,184,7.9,937,8.797,Drama,1975-11-26
1975,48,Best Picture,0,Dog Day Afternoon ,"Martin Bregman and Martin Elfand, Producers",46665856,1800000,125,7.8,1059,17.014,Crime,1975-08-11
1975,48,Best Picture,0,Jaws ,"Richard D. Zanuck and David Brown, Producers",470700000,7000000,124,7.6,4205,16.099,Horror,1975-06-18
1975,48,Best Picture,0,Nashville ,"Robert Altman, Producer",0,2200000,160,7.4,127,6.09,Drama,1975-06-11
1975,48,Best Picture,1,One Flew over the Cuckoo's Nest ,"Saul Zaentz and Michael Douglas, Producers",108981275,3000000,133,8.4,4746,26.952,Drama,1975-11-18
1976,49,Best Picture,0,All the President's Men ,"Walter Coblenz, Producer",70600000,8500000,138,7.7,645,17.277,Drama,1976-04-04
1976,49,Best Picture,0,Bound for Glory ,"Robert F. Blumofe and Harold Leventhal, Producers",0,0,147,7.3,24,3.313,Music,1976-12-05
1976,49,Best Picture,0,Network ,"Howard Gottfried, Producer",23689877,3800000,122,8.0,605,8.489,Drama,1976-11-01
1976,49,Best Picture,1,Rocky ,"Irwin Winkler and Robert Chartoff, Producers",117235147,1000000,119,7.6,3085,36.735,Drama,1976-11-21
1976,49,Best Picture,0,Taxi Driver ,"Michael Phillips and Julia Phillips, Producers",28262574,1300000,114,8.1,4388,17.536,Crime,1976-02-07
1977,50,Best Picture,1,Annie Hall ,"Charles H. Joffe, Producer",38251425,4000000,93,7.8,1681,9.569,Comedy,1977-04-19
1977,50,Best Picture,0,The Goodbye Girl ,"Ray Stark, Producer",102000000,0,111,7.1,51,3.864,Comedy,1977-11-30
1977,50,Best Picture,0,Julia ,"Richard Roth, Producer",0,0,117,6.9,43,4.765,Drama,1977-10-02
1977,50,Best Picture,0,Star Wars ,"Gary Kurtz, Producer",775398007,11000000,121,8.2,10145,34.726,Adventure,1977-05-25
1977,50,Best Picture,0,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers",0,0,119,6.4,21,1.902,Drama,1977-11-14
1978,51,Best Picture,0,Coming Home ,"Jerome Hellman, Producer",0,3000000,127,7.2,62,4.275,Drama,1978-02-15
1978,51,Best Picture,1,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",50000000,15000000,183,8.0,1497,11.896,Drama,1978-12-08
1978,51,Best Picture,0,Heaven Can Wait ,"Warren Beatty, Producer",0,0,101,6.5,133,5.95,Fantasy,1978-06-28
1978,51,Best Picture,0,Midnight Express ,"Alan Marshall and David Puttnam, Producers",35000000,2300000,121,7.7,529,9.67,Drama,1978-09-12
1978,51,Best Picture,0,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers",24000000,2515000,124,6.7,21,1.335,Drama,1978-05-26
1979,52,Best Picture,0,All That Jazz ,"Robert Alan Aurthur, Producer",37823676,0,123,7.3,133,7.304,Drama,1979-12-20
1979,52,Best Picture,0,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",89460381,31500000,147,8.2,3349,16.83,Drama,1979-08-15
1979,52,Best Picture,0,Breaking Away ,"Peter Yates, Producer",20000000,2300000,100,7.4,97,6.514,Drama,1979-05-24
1979,52,Best Picture,1,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer",106260000,8000000,105,7.5,809,8.818,Drama,1979-12-18
1979,52,Best Picture,0,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers",22228000,0,110,7.2,51,4.397,Drama,1979-03-02
1980,53,Best Picture,0,Coal Miner's Daughter ,"Bernard Schwartz, Producer",67182787,15000000,125,7.1,97,5.777,Drama,1980-03-07
1980,53,Best Picture,0,The Elephant Man ,"Jonathan Sanger, Producer",26010864,5000000,124,8.0,1238,10.216,Drama,1980-10-02
1980,53,Best Picture,1,Ordinary People ,"Ronald L. Schwary, Producer",0,6000000,124,7.5,209,7.461,Drama,1980-09-19
1980,53,Best Picture,0,Raging Bull ,"Irwin Winkler and Robert Chartoff, Producers",23000000,18000000,129,7.9,1561,10.936,Drama,1980-11-14
1980,53,Best Picture,0,Tess ,"Claude Berri, Producer; Timothy Burrill, Co-Producer",0,0,171,6.8,107,7.688,Drama,1979-10-06
1981,54,Best Picture,0,Atlantic City ,"Denis Heroux and John Kemeny, Producers",12729675,7200000,104,6.9,75,4.948,Crime,1980-09-02
1981,54,Best Picture,1,Chariots of Fire ,"David Puttnam, Producer",58972904,5500000,123,6.9,319,7.854,Drama,1981-05-15
1981,54,Best Picture,0,On Golden Pond ,"Bruce Gilbert, Producer",19255967,0,109,7.5,158,6.288,Drama,1981-12-04
1981,54,Best Picture,0,Raiders of the Lost Ark ,"Frank Marshall, Producer",389925971,18000000,115,7.8,5775,25.633,Adventure,1981-06-12
1981,54,Best Picture,0,Reds ,"Warren Beatty, Producer",40382659,32000000,195,7.2,110,5.905,Drama,1981-12-25
1982,55,Best Picture,0,E.T. The Extra-Terrestrial ,"Steven Spielberg and Kathleen Kennedy, Producers",792965326,10500000,115,7.4,5485,21.267,Science Fiction,1982-06-11
1982,55,Best Picture,1,Gandhi ,"Richard Attenborough, Producer",77737889,22000000,191,7.5,1042,14.773,Drama,1982-11-30
1982,55,Best Picture,0,Missing ,"Edward Lewis and Mildred Lewis, Producers",14000000,0,122,7.4,117,5.978,Drama,1982-02-12
1982,55,Best Picture,0,Tootsie ,"Sydney Pollack and Dick Richards, Producers",177200000,21000000,116,7.1,679,7.809,Comedy,1982-12-16
1982,55,Best Picture,0,The Verdict ,"Richard D. Zanuck and David Brown, Producers",53977250,16000000,129,7.5,198,8.319,Drama,1982-12-08
1983,56,Best Picture,0,The Big Chill ,"Michael Shamberg, Producer",0,0,105,7.1,199,6.558,Comedy,1983-09-09
1983,56,Best Picture,0,The Dresser ,"Peter Yates, Producer",0,0,118,6.6,20,1.286,Drama,1983-12-06
1983,56,Best Picture,0,The Right Stuff ,"Irwin Winkler and Robert Chartoff, Producers",21500000,27000000,193,7.5,338,8.486,Drama,1983-10-20
1983,56,Best Picture,0,Tender Mercies ,"Philip S. Hobel, Producer",0,0,92,6.7,32,2.99,Drama,1983-04-02
1983,56,Best Picture,1,Terms of Endearment ,"James L. Brooks, Producer",0,8000000,132,7.2,286,7.401,Comedy,1983-11-20
1984,57,Best Picture,1,Amadeus ,"Saul Zaentz, Producer",51973029,18000000,160,8.0,1772,13.039,Drama,1984-10-26
1984,57,Best Picture,0,The Killing Fields ,"David Puttnam, Producer",34700291,14400000,141,7.6,251,7.043,Drama,1984-11-02
1984,57,Best Picture,0,A Passage to India ,"John Brabourne and Richard Goodwin, Producers",27187653,8000000,163,6.9,105,6.766,Drama,1984-12-14
